Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp,String_Num,Panel_Num,Repair_Cost,Downtime_Hours,Energy_Loss_Cost,Total_Cost
Hotspot,String-9_Panel-20,Medium,4,Inspect Cells,Inspect Cells,926,Rainy,2023-01-15 10:00:00,9,20,84.74,1.21,0.056,84.79599999999999
Shadowing,String-5_Panel-6,High,9,Remove Obstruction,Replace Connector,327,Sunny,2023-01-15 10:00:00,5,6,54.0,0.51,0.024,54.024
Open Circuit,String-8_Panel-1,High,1,Replace Wiring,Replace Module,636,Cloudy,2023-01-15 14:00:00,8,1,144.63,1.99,0.096,144.726
Shadowing,String-1_Panel-11,Low,7,Clean Panel,Clean Panel,640,Sunny,2023-01-15 14:00:00,1,11,27.99,0.32,0.018,28.008
Short Circuit,String-5_Panel-17,Critical,6,Replace Module,Replace Panel Section,252,Rainy,2023-01-15 15:00:00,5,17,544.69,7.11,0.46,545.1500000000001
Hotspot,String-5_Panel-17,Low,2,Inspect Cells,Clean Panel,965,Sunny,2023-01-15 16:00:00,5,17,82.45,1.04,0.058,82.50800000000001
Short Circuit,String-5_Panel-12,Critical,9,Replace Module,Replace Module,401,Cloudy,2023-01-15 19:00:00,5,12,520.97,5.57,0.325,521.2950000000001
Hotspot,String-1_Panel-19,Medium,4,Inspect Cells,Inspect Cells,897,Sunny,2023-01-15 19:00:00,1,19,87.47,0.97,0.058,87.528
Short Circuit,String-3_Panel-15,Medium,9,Replace Fuse,Tighten Connection,638,Rainy,2023-01-15 21:00:00,3,15,49.58,0.38,0.02,49.6
Shadowing,String-3_Panel-8,Critical,1,Reinstall Module,Remove Obstruction,712,Sunny,2023-01-15 22:00:00,3,8,200.97,3.09,0.154,201.124
Short Circuit,String-3_Panel-7,Critical,1,Replace Module,Inspect Junction Box,229,Sunny,2023-01-15 23:00:00,3,7,519.03,7.44,0.414,519.444
Hotspot,String-10_Panel-5,High,10,Replace Panel Section,Clean Panel,769,Cloudy,2023-01-15 23:00:00,10,5,324.34,3.79,0.23,324.57
Short Circuit,String-3_Panel-6,Low,13,Inspect Junction Box,Replace Wiring,743,Sunny,2023-01-16 00:00:00,3,6,58.08,1.03,0.067,58.147
Short Circuit,String-1_Panel-4,High,10,Replace Wiring,Replace Wiring,769,Cloudy,2023-01-16 01:00:00,1,4,131.09,1.84,0.086,131.17600000000002
Hotspot,String-6_Panel-6,Low,2,Inspect Cells,Replace Panel Section,982,Sunny,2023-01-16 02:00:00,6,6,78.44,1.01,0.051,78.491
Shadowing,String-7_Panel-13,Critical,11,Replace Panel Section,Inspect Junction Box,745,Cloudy,2023-01-16 02:00:00,7,13,254.82,4.29,0.23,255.04999999999998
Shadowing,String-7_Panel-15,Critical,1,Reinstall Module,Replace Wiring,446,Sunny,2023-01-16 03:00:00,7,15,195.98,2.11,0.119,196.099
Hotspot,String-2_Panel-19,Critical,1,Replace Module,Replace Module,769,Rainy,2023-01-16 03:00:00,2,19,571.29,4.0,0.208,571.4979999999999
Shadowing,String-3_Panel-2,Low,11,Remove Obstruction,Clean Panel,436,Rainy,2023-01-16 04:00:00,3,2,45.28,0.55,0.034,45.314
Shadowing,String-8_Panel-8,Medium,3,Remove Obstruction,Replace Fuse,584,Sunny,2023-01-16 05:00:00,8,8,51.62,0.53,0.034,51.653999999999996
Shadowing,String-1_Panel-6,Critical,7,Replace Panel Section,Reinstall Module,328,Cloudy,2023-01-16 05:00:00,1,6,314.8,4.18,0.222,315.022
Shadowing,String-6_Panel-3,Low,3,Remove Obstruction,Replace Wiring,638,Sunny,2023-01-16 06:00:00,6,3,54.76,0.45,0.026,54.786
Hotspot,String-6_Panel-13,Medium,1,Inspect Cells,Inspect Cells,406,Cloudy,2023-01-16 06:00:00,6,13,84.85,0.81,0.035,84.88499999999999
Open Circuit,String-8_Panel-14,Low,11,Replace Wiring,Tighten Connection,338,Sunny,2023-01-16 07:00:00,8,14,161.61,2.07,0.098,161.70800000000003
Hotspot,String-7_Panel-19,Medium,8,Inspect Cells,Replace Module,424,Sunny,2023-01-16 07:00:00,7,19,84.16,1.09,0.055,84.215
Short Circuit,String-7_Panel-4,Low,8,Replace Fuse,Replace Wiring,586,Rainy,2023-01-16 09:00:00,7,4,54.84,0.55,0.029,54.86900000000001
Hotspot,String-10_Panel-4,High,14,Replace Panel Section,Inspect Junction Box,398,Rainy,2023-01-16 10:00:00,10,4,330.55,4.89,0.215,330.765
Shadowing,String-10_Panel-1,Medium,11,Remove Obstruction,Remove Obstruction,597,Rainy,2023-01-16 10:00:00,10,1,52.63,0.66,0.038,52.668
Hotspot,String-10_Panel-14,High,14,Replace Panel Section,Replace Panel Section,887,Rainy,2023-01-16 12:00:00,10,14,299.57,4.21,0.18,299.75
Hotspot,String-3_Panel-9,Low,9,Clean Panel,Replace Connector,355,Rainy,2023-01-16 12:00:00,3,9,28.74,0.26,0.017,28.756999999999998
Open Circuit,String-5_Panel-3,Medium,8,Replace Connector,Replace Connector,524,Sunny,2023-01-16 12:00:00,5,3,92.35,0.91,0.045,92.395
Hotspot,String-10_Panel-20,Medium,2,Replace Module,Inspect Cells,486,Cloudy,2023-01-16 12:00:00,10,20,515.46,5.82,0.375,515.835
Hotspot,String-4_Panel-14,High,3,Clean Panel,Replace Panel Section,291,Sunny,2023-01-16 13:00:00,4,14,26.9,0.31,0.019,26.918999999999997
Open Circuit,String-4_Panel-11,High,10,Replace Wiring,Replace Wiring,298,Cloudy,2023-01-16 13:00:00,4,11,155.59,1.91,0.122,155.71200000000002
Hotspot,String-2_Panel-4,High,14,Replace Panel Section,Tighten Connection,307,Cloudy,2023-01-16 15:00:00,2,4,309.5,3.88,0.204,309.704
Shadowing,String-6_Panel-18,Critical,8,Replace Module,Tighten Connection,610,Sunny,2023-01-16 15:00:00,6,18,558.12,4.75,0.235,558.355
Hotspot,String-10_Panel-16,Medium,3,Inspect Cells,Inspect Cells,424,Sunny,2023-01-16 18:00:00,10,16,82.42,1.05,0.068,82.488
Open Circuit,String-8_Panel-16,Critical,12,Replace Module,Replace Module,604,Cloudy,2023-01-16 18:00:00,8,16,575.27,6.9,0.407,575.677
Shadowing,String-7_Panel-8,High,13,Remove Obstruction,Adjust Tilt,278,Cloudy,2023-01-16 18:00:00,7,8,43.94,0.55,0.034,43.974
Hotspot,String-1_Panel-4,Critical,10,Replace Module,Replace Fuse,250,Sunny,2023-01-16 19:00:00,1,4,453.22,5.98,0.366,453.586
Open Circuit,String-4_Panel-12,Critical,12,Replace Module,Replace Panel Section,828,Sunny,2023-01-16 20:00:00,4,12,543.13,6.13,0.39,543.52
Hotspot,String-3_Panel-14,Low,3,Inspect Cells,Clean Panel,729,Cloudy,2023-01-16 20:00:00,3,14,95.02,1.15,0.061,95.081
Short Circuit,String-1_Panel-2,Low,10,Replace Fuse,Adjust Tilt,553,Rainy,2023-01-16 21:00:00,1,2,58.48,0.49,0.025,58.504999999999995
Open Circuit,String-6_Panel-12,Medium,14,Replace Wiring,Inspect Cells,820,Cloudy,2023-01-16 22:00:00,6,12,151.13,2.3,0.101,151.231
Shadowing,String-8_Panel-13,Critical,7,Replace Module,Replace Panel Section,403,Cloudy,2023-01-16 23:00:00,8,13,533.99,5.34,0.344,534.3340000000001
Hotspot,String-8_Panel-16,Medium,10,Inspect Cells,Adjust Tilt,826,Sunny,2023-01-16 23:00:00,8,16,95.05,0.93,0.043,95.093
Open Circuit,String-8_Panel-6,Low,3,Replace Connector,Tighten Connection,454,Cloudy,2023-01-17 00:00:00,8,6,76.53,1.22,0.058,76.58800000000001
Short Circuit,String-5_Panel-6,High,11,Replace Wiring,Remove Obstruction,414,Rainy,2023-01-17 00:00:00,5,6,147.81,2.14,0.14,147.95
Open Circuit,String-2_Panel-5,High,6,Inspect Junction Box,Replace Wiring,305,Sunny,2023-01-17 02:00:00,2,5,76.62,0.96,0.044,76.664
Open Circuit,String-2_Panel-3,Medium,11,Replace Wiring,Clean Panel,909,Sunny,2023-01-17 02:00:00,2,3,144.1,1.86,0.104,144.204
Hotspot,String-3_Panel-6,Medium,3,Inspect Cells,Inspect Cells,425,Rainy,2023-01-17 02:00:00,3,6,86.74,1.08,0.061,86.801
Shadowing,String-1_Panel-17,Low,6,Clean Panel,Reinstall Module,316,Sunny,2023-01-17 02:00:00,1,17,31.23,0.28,0.016,31.246
Shadowing,String-5_Panel-9,Low,7,Remove Obstruction,Clean Panel,928,Rainy,2023-01-17 05:00:00,5,9,43.73,0.58,0.029,43.759
Open Circuit,String-8_Panel-13,Critical,3,Replace Module,Clean Panel,457,Rainy,2023-01-17 06:00:00,8,13,484.55,7.61,0.399,484.949
Hotspot,String-5_Panel-19,Medium,6,Inspect Cells,Reinstall Module,786,Rainy,2023-01-17 06:00:00,5,19,91.6,1.0,0.061,91.661
Shadowing,String-5_Panel-4,Low,4,Remove Obstruction,Inspect Junction Box,305,Cloudy,2023-01-17 07:00:00,5,4,49.16,0.52,0.026,49.186
Short Circuit,String-1_Panel-14,Critical,14,Reinstall Module,Replace Module,521,Sunny,2023-01-17 07:00:00,1,14,202.9,2.67,0.14,203.04
Shadowing,String-7_Panel-18,High,1,Adjust Tilt,Adjust Tilt,660,Rainy,2023-01-17 09:00:00,7,18,128.84,2.16,0.099,128.939
Short Circuit,String-2_Panel-13,High,7,Replace Wiring,Replace Fuse,606,Sunny,2023-01-17 10:00:00,2,13,146.75,1.78,0.079,146.829
Short Circuit,String-9_Panel-18,Low,8,Inspect Junction Box,Replace Fuse,481,Sunny,2023-01-17 11:00:00,9,18,60.84,1.03,0.056,60.896
Shadowing,String-9_Panel-13,Low,9,Inspect Cells,Remove Obstruction,274,Sunny,2023-01-17 12:00:00,9,13,82.01,0.65,0.035,82.045
Short Circuit,String-6_Panel-13,Critical,11,Replace Module,Replace Module,792,Sunny,2023-01-17 14:00:00,6,13,566.63,5.52,0.241,566.871
Open Circuit,String-9_Panel-20,Critical,14,Replace Module,Replace Wiring,436,Rainy,2023-01-17 14:00:00,9,20,462.15,7.04,0.403,462.553
Short Circuit,String-5_Panel-2,Low,7,Inspect Junction Box,Clean Panel,827,Cloudy,2023-01-17 15:00:00,5,2,71.62,1.28,0.068,71.688
Hotspot,String-6_Panel-4,Low,5,Inspect Cells,Tighten Connection,848,Cloudy,2023-01-17 18:00:00,6,4,82.92,0.93,0.04,82.96000000000001
Hotspot,String-9_Panel-15,Critical,11,Replace Module,Reinstall Module,992,Sunny,2023-01-17 18:00:00,9,15,541.21,5.92,0.36,541.57
Open Circuit,String-5_Panel-11,High,13,Replace Wiring,Replace Wiring,645,Cloudy,2023-01-17 19:00:00,5,11,167.61,1.97,0.123,167.733
Shadowing,String-4_Panel-12,Medium,3,Remove Obstruction,Replace Fuse,859,Rainy,2023-01-17 19:00:00,4,12,50.36,0.61,0.035,50.394999999999996
Shadowing,String-10_Panel-16,High,10,Adjust Tilt,Adjust Tilt,522,Cloudy,2023-01-17 21:00:00,10,16,129.24,1.83,0.093,129.333
Shadowing,String-3_Panel-5,Medium,1,Remove Obstruction,Remove Obstruction,294,Sunny,2023-01-17 22:00:00,3,5,51.84,0.56,0.03,51.870000000000005
Short Circuit,String-5_Panel-6,Low,9,Inspect Junction Box,Tighten Connection,809,Cloudy,2023-01-17 23:00:00,5,6,62.8,0.84,0.039,62.839
Shadowing,String-3_Panel-9,Low,2,Clean Panel,Clean Panel,517,Rainy,2023-01-18 01:00:00,3,9,25.76,0.3,0.014,25.774
Open Circuit,String-4_Panel-7,Low,6,Tighten Connection,Tighten Connection,590,Cloudy,2023-01-18 01:00:00,4,7,39.96,0.36,0.023,39.983000000000004
Hotspot,String-4_Panel-14,High,12,Replace Module,Replace Panel Section,256,Cloudy,2023-01-18 02:00:00,4,14,513.23,7.51,0.488,513.7180000000001
Shadowing,String-10_Panel-5,Medium,3,Remove Obstruction,Replace Connector,602,Cloudy,2023-01-18 03:00:00,10,5,48.44,0.6,0.03,48.47
Shadowing,String-10_Panel-1,Critical,4,Reinstall Module,Reinstall Module,789,Cloudy,2023-01-18 04:00:00,10,1,209.01,3.04,0.183,209.19299999999998
Hotspot,String-5_Panel-2,Medium,2,Inspect Cells,Inspect Cells,641,Sunny,2023-01-18 04:00:00,5,2,90.29,0.9,0.046,90.33600000000001
Hotspot,String-1_Panel-16,Critical,13,Replace Module,Replace Module,862,Sunny,2023-01-18 05:00:00,1,16,462.88,6.24,0.303,463.183
Hotspot,String-2_Panel-4,Medium,6,Inspect Cells,Replace Connector,968,Cloudy,2023-01-18 05:00:00,2,4,80.81,1.0,0.055,80.86500000000001
Hotspot,String-10_Panel-4,Medium,8,Inspect Cells,Replace Connector,475,Rainy,2023-01-18 05:00:00,10,4,77.71,0.96,0.051,77.761
Short Circuit,String-4_Panel-5,High,10,Replace Wiring,Replace Wiring,268,Rainy,2023-01-18 05:00:00,4,5,153.87,1.72,0.106,153.976
Shadowing,String-6_Panel-2,Medium,11,Remove Obstruction,Remove Obstruction,419,Sunny,2023-01-18 06:00:00,6,2,45.27,0.47,0.022,45.292
Hotspot,String-6_Panel-5,Critical,4,Replace Module,Replace Fuse,613,Rainy,2023-01-18 07:00:00,6,5,575.13,6.24,0.332,575.462
Open Circuit,String-3_Panel-8,Medium,7,Replace Wiring,Reinstall Module,211,Rainy,2023-01-18 07:00:00,3,8,155.98,1.49,0.09,156.07
Open Circuit,String-7_Panel-4,Critical,13,Replace Module,Replace Fuse,766,Sunny,2023-01-18 07:00:00,7,4,603.1,6.1,0.275,603.375
Hotspot,String-1_Panel-14,Critical,13,Replace Module,Replace Module,709,Rainy,2023-01-18 07:00:00,1,14,542.8,6.64,0.338,543.1379999999999
Shadowing,String-6_Panel-20,Medium,1,Remove Obstruction,Remove Obstruction,801,Sunny,2023-01-18 08:00:00,6,20,43.27,0.51,0.033,43.303000000000004
Open Circuit,String-1_Panel-16,Low,2,Tighten Connection,Tighten Connection,343,Rainy,2023-01-18 09:00:00,1,16,44.2,0.48,0.03,44.230000000000004
Short Circuit,String-5_Panel-16,Medium,12,Replace Fuse,Replace Fuse,549,Cloudy,2023-01-18 10:00:00,5,16,53.91,0.34,0.021,53.931
Short Circuit,String-7_Panel-19,Medium,10,Replace Fuse,Replace Fuse,489,Rainy,2023-01-18 11:00:00,7,19,59.1,0.47,0.025,59.125
Hotspot,String-2_Panel-4,Critical,7,Replace Module,Replace Module,379,Cloudy,2023-01-18 11:00:00,2,4,569.86,5.88,0.314,570.174
Hotspot,String-6_Panel-6,Critical,12,Replace Module,Replace Module,289,Cloudy,2023-01-18 12:00:00,6,6,545.68,6.4,0.356,546.036
Short Circuit,String-6_Panel-17,Low,14,Replace Fuse,Reinstall Module,762,Rainy,2023-01-18 14:00:00,6,17,64.71,0.43,0.019,64.729
Hotspot,String-9_Panel-11,Low,3,Clean Panel,Clean Panel,271,Rainy,2023-01-18 15:00:00,9,11,27.7,0.33,0.02,27.72
Short Circuit,String-7_Panel-18,High,3,Replace Wiring,Inspect Junction Box,315,Rainy,2023-01-18 16:00:00,7,18,138.84,2.36,0.15,138.99
Shadowing,String-8_Panel-10,Critical,2,Reinstall Module,Tighten Connection,332,Rainy,2023-01-18 16:00:00,8,10,213.44,3.09,0.149,213.589
Shadowing,String-4_Panel-12,Medium,5,Remove Obstruction,Inspect Cells,256,Rainy,2023-01-18 16:00:00,4,12,55.46,0.49,0.024,55.484
Hotspot,String-4_Panel-8,Medium,14,Inspect Cells,Reinstall Module,302,Sunny,2023-01-18 17:00:00,4,8,79.54,1.07,0.049,79.58900000000001
Shadowing,String-1_Panel-18,High,13,Adjust Tilt,Adjust Tilt,605,Sunny,2023-01-18 18:00:00,1,18,104.96,1.83,0.118,105.07799999999999
Open Circuit,String-6_Panel-12,Medium,2,Replace Connector,Replace Connector,465,Sunny,2023-01-18 18:00:00,6,12,87.37,0.83,0.049,87.41900000000001
Open Circuit,String-10_Panel-14,Low,13,Replace Wiring,Inspect Junction Box,900,Cloudy,2023-01-18 18:00:00,10,14,141.26,2.19,0.134,141.39399999999998
Shadowing,String-9_Panel-2,High,13,Adjust Tilt,Inspect Cells,444,Sunny,2023-01-18 18:00:00,9,2,118.6,1.91,0.086,118.68599999999999
Shadowing,String-3_Panel-9,Medium,3,Adjust Tilt,Remove Obstruction,425,Sunny,2023-01-18 19:00:00,3,9,112.16,1.72,0.082,112.24199999999999
Hotspot,String-10_Panel-16,Medium,2,Inspect Cells,Replace Connector,661,Sunny,2023-01-18 20:00:00,10,16,80.68,0.86,0.042,80.72200000000001
Short Circuit,String-7_Panel-18,Medium,13,Replace Fuse,Tighten Connection,460,Cloudy,2023-01-18 20:00:00,7,18,63.5,0.4,0.019,63.519
Open Circuit,String-5_Panel-15,Low,1,Tighten Connection,Tighten Connection,955,Cloudy,2023-01-18 21:00:00,5,15,39.3,0.52,0.027,39.327
Short Circuit,String-4_Panel-8,Low,8,Replace Fuse,Replace Wiring,275,Rainy,2023-01-18 22:00:00,4,8,53.02,0.42,0.018,53.038000000000004
Hotspot,String-5_Panel-11,Critical,12,Replace Module,Replace Connector,595,Rainy,2023-01-18 23:00:00,5,11,562.8,4.41,0.189,562.9889999999999
Shadowing,String-1_Panel-4,Medium,9,Remove Obstruction,Remove Obstruction,539,Rainy,2023-01-19 00:00:00,1,4,54.76,0.49,0.03,54.79
Short Circuit,String-10_Panel-9,Medium,11,Replace Fuse,Replace Fuse,378,Sunny,2023-01-19 01:00:00,10,9,56.63,0.49,0.03,56.660000000000004
Short Circuit,String-4_Panel-8,Critical,10,Replace Module,Replace Module,376,Rainy,2023-01-19 01:00:00,4,8,422.48,6.68,0.312,422.79200000000003
Short Circuit,String-4_Panel-9,Critical,11,Replace Module,Reinstall Module,622,Rainy,2023-01-19 02:00:00,4,9,501.05,5.0,0.314,501.36400000000003
Shadowing,String-6_Panel-11,Medium,6,Remove Obstruction,Replace Connector,774,Rainy,2023-01-19 02:00:00,6,11,49.3,0.46,0.03,49.33
Short Circuit,String-9_Panel-9,Medium,6,Replace Fuse,Replace Fuse,438,Cloudy,2023-01-19 04:00:00,9,9,62.17,0.52,0.033,62.203
Open Circuit,String-1_Panel-14,Medium,8,Replace Connector,Replace Connector,288,Cloudy,2023-01-19 04:00:00,1,14,101.36,0.87,0.052,101.412
Shadowing,String-2_Panel-15,High,14,Adjust Tilt,Clean Panel,593,Rainy,2023-01-19 05:00:00,2,15,130.87,2.3,0.108,130.978
Shadowing,String-6_Panel-10,Medium,9,Remove Obstruction,Remove Obstruction,883,Rainy,2023-01-19 05:00:00,6,10,48.75,0.58,0.028,48.778
Open Circuit,String-10_Panel-3,Critical,10,Replace Module,Adjust Tilt,978,Sunny,2023-01-19 06:00:00,10,3,528.12,5.84,0.358,528.478
Shadowing,String-2_Panel-6,Low,2,Clean Panel,Clean Panel,896,Sunny,2023-01-19 06:00:00,2,6,30.69,0.29,0.014,30.704
Hotspot,String-8_Panel-5,High,5,Replace Panel Section,Replace Panel Section,480,Cloudy,2023-01-19 07:00:00,8,5,322.01,3.67,0.19,322.2
Open Circuit,String-1_Panel-8,High,2,Replace Wiring,Replace Wiring,358,Cloudy,2023-01-19 07:00:00,1,8,184.97,1.57,0.081,185.051
Shadowing,String-6_Panel-8,High,12,Remove Obstruction,Reinstall Module,367,Rainy,2023-01-19 07:00:00,6,8,46.96,0.53,0.031,46.991
Shadowing,String-8_Panel-18,Low,5,Clean Panel,Inspect Cells,809,Sunny,2023-01-19 08:00:00,8,18,31.83,0.34,0.022,31.851999999999997
Shadowing,String-2_Panel-5,Critical,10,Replace Module,Adjust Tilt,218,Sunny,2023-01-19 08:00:00,2,5,567.09,4.31,0.205,567.2950000000001
Open Circuit,String-9_Panel-16,High,5,Inspect Junction Box,Replace Wiring,561,Cloudy,2023-01-19 11:00:00,9,16,72.1,1.13,0.056,72.15599999999999
Hotspot,String-5_Panel-8,Medium,2,Inspect Cells,Tighten Connection,733,Rainy,2023-01-19 12:00:00,5,8,79.35,1.02,0.046,79.396
Open Circuit,String-2_Panel-11,High,12,Inspect Junction Box,Clean Panel,998,Rainy,2023-01-19 13:00:00,2,11,71.59,1.13,0.067,71.657
Open Circuit,String-7_Panel-14,Critical,13,Replace Module,Replace Module,752,Rainy,2023-01-19 14:00:00,7,14,560.51,6.01,0.328,560.838
Shadowing,String-10_Panel-9,High,5,Remove Obstruction,Inspect Junction Box,361,Rainy,2023-01-19 15:00:00,10,9,44.12,0.53,0.032,44.151999999999994
Shadowing,String-10_Panel-2,High,9,Adjust Tilt,Tighten Connection,798,Cloudy,2023-01-19 15:00:00,10,2,115.58,2.16,0.103,115.68299999999999
Shadowing,String-6_Panel-18,Low,2,Remove Obstruction,Remove Obstruction,593,Rainy,2023-01-19 16:00:00,6,18,50.21,0.49,0.028,50.238
Short Circuit,String-2_Panel-3,Critical,4,Replace Module,Reinstall Module,270,Rainy,2023-01-19 17:00:00,2,3,512.57,5.5,0.352,512.922
Short Circuit,String-5_Panel-6,Critical,1,Replace Module,Replace Fuse,601,Rainy,2023-01-19 19:00:00,5,6,572.95,6.39,0.372,573.322
Open Circuit,String-1_Panel-7,Medium,9,Replace Connector,Replace Panel Section,441,Cloudy,2023-01-19 21:00:00,1,7,88.3,0.81,0.05,88.35
Hotspot,String-8_Panel-7,Low,1,Inspect Cells,Adjust Tilt,719,Cloudy,2023-01-19 21:00:00,8,7,73.03,1.09,0.07,73.1
Short Circuit,String-5_Panel-11,Medium,8,Replace Fuse,Replace Fuse,806,Sunny,2023-01-19 22:00:00,5,11,71.46,0.43,0.025,71.485
Open Circuit,String-9_Panel-15,Critical,9,Reinstall Module,Reinstall Module,918,Cloudy,2023-01-19 23:00:00,9,15,228.77,3.43,0.152,228.922
Short Circuit,String-10_Panel-5,High,4,Replace Wiring,Replace Fuse,713,Sunny,2023-01-19 23:00:00,10,5,152.69,2.0,0.098,152.788
Shadowing,String-3_Panel-17,Critical,4,Reinstall Module,Reinstall Module,513,Cloudy,2023-01-20 00:00:00,3,17,188.82,2.97,0.194,189.01399999999998
Open Circuit,String-4_Panel-19,High,12,Replace Wiring,Inspect Cells,245,Sunny,2023-01-20 00:00:00,4,19,151.62,2.11,0.128,151.748
Short Circuit,String-3_Panel-8,High,7,Replace Wiring,Replace Wiring,865,Cloudy,2023-01-20 01:00:00,3,8,130.62,2.24,0.129,130.749
Shadowing,String-7_Panel-20,Medium,9,Remove Obstruction,Clean Panel,667,Rainy,2023-01-20 02:00:00,7,20,47.1,0.48,0.023,47.123000000000005
Hotspot,String-7_Panel-3,Low,2,Clean Panel,Clean Panel,282,Rainy,2023-01-20 02:00:00,7,3,27.54,0.28,0.015,27.555
Hotspot,String-6_Panel-16,High,4,Replace Module,Replace Fuse,246,Sunny,2023-01-20 03:00:00,6,16,493.4,6.46,0.406,493.806
Short Circuit,String-9_Panel-12,Critical,14,Replace Module,Replace Module,964,Rainy,2023-01-20 04:00:00,9,12,530.31,5.9,0.382,530.6919999999999
Open Circuit,String-7_Panel-12,Critical,3,Replace Module,Reinstall Module,235,Cloudy,2023-01-20 06:00:00,7,12,497.75,4.87,0.306,498.056
Open Circuit,String-8_Panel-19,Medium,11,Replace Wiring,Replace Connector,972,Sunny,2023-01-20 07:00:00,8,19,143.62,1.7,0.093,143.713
Shadowing,String-2_Panel-12,Low,6,Remove Obstruction,Reinstall Module,915,Cloudy,2023-01-20 07:00:00,2,12,48.14,0.64,0.031,48.171
Short Circuit,String-2_Panel-11,Medium,13,Replace Fuse,Replace Fuse,658,Rainy,2023-01-20 10:00:00,2,11,60.98,0.43,0.026,61.006
Short Circuit,String-6_Panel-13,Medium,13,Replace Fuse,Replace Connector,275,Sunny,2023-01-20 12:00:00,6,13,60.68,0.36,0.02,60.7
Shadowing,String-7_Panel-6,Low,5,Remove Obstruction,Clean Panel,424,Cloudy,2023-01-20 12:00:00,7,6,57.61,0.47,0.027,57.637
Short Circuit,String-9_Panel-12,Critical,6,Replace Module,Replace Panel Section,646,Sunny,2023-01-20 12:00:00,9,12,562.64,5.88,0.362,563.002
Hotspot,String-7_Panel-13,Medium,4,Inspect Cells,Inspect Cells,806,Cloudy,2023-01-20 12:00:00,7,13,69.52,1.08,0.049,69.569
Short Circuit,String-3_Panel-19,High,12,Replace Module,Replace Wiring,764,Cloudy,2023-01-20 15:00:00,3,19,477.87,6.09,0.391,478.261
Hotspot,String-3_Panel-13,High,7,Replace Module,Replace Panel Section,736,Rainy,2023-01-20 15:00:00,3,13,498.02,6.44,0.303,498.323
Shadowing,String-3_Panel-15,Medium,4,Remove Obstruction,Remove Obstruction,673,Sunny,2023-01-20 16:00:00,3,15,54.19,0.42,0.018,54.208
Open Circuit,String-3_Panel-19,Critical,13,Reinstall Module,Replace Module,387,Sunny,2023-01-20 17:00:00,3,19,230.77,3.41,0.154,230.924
Short Circuit,String-9_Panel-16,Medium,14,Replace Fuse,Replace Fuse,582,Cloudy,2023-01-20 17:00:00,9,16,55.49,0.47,0.028,55.518
Open Circuit,String-2_Panel-20,Medium,13,Replace Connector,Replace Module,531,Rainy,2023-01-20 20:00:00,2,20,90.27,0.99,0.057,90.327
Short Circuit,String-10_Panel-8,Critical,3,Replace Module,Replace Module,942,Sunny,2023-01-20 21:00:00,10,8,511.08,4.96,0.262,511.342
Shadowing,String-7_Panel-11,Critical,13,Replace Module,Reinstall Module,454,Cloudy,2023-01-20 22:00:00,7,11,558.05,5.01,0.231,558.281
Open Circuit,String-10_Panel-6,Low,1,Tighten Connection,Replace Connector,493,Rainy,2023-01-20 23:00:00,10,6,37.38,0.51,0.023,37.403000000000006
Open Circuit,String-3_Panel-13,Critical,9,Replace Module,Replace Module,803,Sunny,2023-01-21 02:00:00,3,13,581.46,6.36,0.318,581.778
Open Circuit,String-1_Panel-7,Low,12,Tighten Connection,Tighten Connection,565,Cloudy,2023-01-21 02:00:00,1,7,42.15,0.45,0.02,42.17
Shadowing,String-3_Panel-12,Medium,8,Remove Obstruction,Clean Panel,513,Cloudy,2023-01-21 03:00:00,3,12,51.26,0.47,0.022,51.282
Short Circuit,String-10_Panel-3,Low,12,Replace Fuse,Inspect Junction Box,377,Rainy,2023-01-21 03:00:00,10,3,56.28,0.46,0.023,56.303000000000004
Open Circuit,String-2_Panel-7,High,7,Replace Wiring,Replace Wiring,555,Rainy,2023-01-21 04:00:00,2,7,143.21,2.26,0.125,143.335
Open Circuit,String-1_Panel-18,High,7,Replace Wiring,Replace Wiring,282,Sunny,2023-01-21 04:00:00,1,18,170.52,2.54,0.145,170.66500000000002
Open Circuit,String-1_Panel-19,Critical,7,Replace Module,Reinstall Module,701,Cloudy,2023-01-21 05:00:00,1,19,522.93,5.15,0.3,523.2299999999999
Open Circuit,String-9_Panel-8,Medium,9,Replace Connector,Inspect Junction Box,517,Cloudy,2023-01-21 06:00:00,9,8,85.46,0.87,0.046,85.506
Shadowing,String-4_Panel-7,Medium,1,Remove Obstruction,Replace Module,813,Rainy,2023-01-21 06:00:00,4,7,49.42,0.43,0.02,49.440000000000005
Hotspot,String-6_Panel-1,Critical,10,Replace Module,Replace Module,652,Cloudy,2023-01-21 10:00:00,6,1,481.82,8.02,0.383,482.203
Open Circuit,String-9_Panel-9,Low,8,Tighten Connection,Replace Module,347,Sunny,2023-01-21 10:00:00,9,9,39.0,0.47,0.028,39.028
Shadowing,String-2_Panel-3,Low,8,Remove Obstruction,Clean Panel,886,Rainy,2023-01-21 10:00:00,2,3,44.82,0.6,0.034,44.854
Hotspot,String-5_Panel-5,High,13,Replace Panel Section,Adjust Tilt,550,Cloudy,2023-01-21 10:00:00,5,5,327.6,3.35,0.183,327.783
